,TERR_NAME,surface_area_total_km2,HR_baseline,HR_reporting_30,nr_stations_baseline,nr_stations_reporting_30,HR_NN_baseline_mean,HR_NN_baseline_std,HR_NN_reporting_30_mean,HR_NN_reporting_30_std,STATUS,surface_area_km2_wb,eez_area_km2,int_water_km2
AFG,Afghanistan,652860.0,233.248794209102,,12.0,,104.08956528935691,63.59191575736975,,,WMO Member,652860.0,,
AGO,Angola,1745798.0,303.1239107413961,,19.0,,166.72691081616261,81.55702375598881,,,WMO Member,1246700.0,497800.0,1298.0
AIA,Anguilla,90426.0,,,,,,,,,WMO Member,,90426.0,
ALB,Albania,40244.0,60.4859112070361,63.438158863573584,11.0,10.0,40.275760159191826,35.3919381290812,38.50298050685945,36.787966931831136,WMO Member,27400.0,12150.0,694.0
AND,Andorra,470.0,,,,,,,,,WMO Member,470.0,,
ARE,United Arab Emirates,131541.0,137.08235272481804,148.06586372287165,7.0,6.0,43.29345977036096,19.033128249848154,51.06058517213574,27.49810127900167,WMO Member,71020.0,51782.0,8739.0
ARG,Argentina,3880493.0,217.53869854776104,232.15455220846115,82.0,72.0,81.61991993062911,41.93813739554415,89.20848223501625,51.18280297615695,WMO Member,2736690.0,1069356.0,74447.0
ARM,Armenia,28470.0,42.1826386087926,97.41663102366044,16.0,3.0,24.004103977859824,13.127814087957091,81.1443852109022,11.081015354713793,WMO Member,28470.0,,
ATA,Antarctica,9550534.0,,,,,,,,,not WMO Member,,9550534.0,
ATG,Antigua and Barbuda,112354.0,335.19248201593064,335.19248201593064,1.0,1.0,,,,,WMO Member,440.0,111914.0,
AUS,Australia,15305559.0,153.5685379228228,202.29669929451282,649.0,374.0,49.16119995443201,97.99979721323135,72.43078810683865,126.09396496310438,WMO Member,7692020.0,7355012.0,258527.0
AUT,Austria,82522.998046875,22.43187492121301,24.107008805937376,164.0,142.0,15.363962364410881,9.455533630106345,17.08576155757759,9.75306285565348,WMO Member,82522.998046875,,
AZE,Azerbaijan,163194.0,88.15408587889081,164.92119330152812,21.0,6.0,43.517650219894854,27.15917105647232,90.04788685813541,22.646079003350362,WMO Member,82670.0,80524.0,
BDI,Burundi,25680.0,113.31372379372235,,2.0,,122.28500755032903,0.0,,,WMO Member,25680.0,,
BEL,Belgium,33762.0,34.72442532693254,35.36162389433557,28.0,27.0,24.00267804372052,9.424027461773976,24.067270087111957,9.597230761171847,WMO Member,30280.0,3482.0,
BEN,Benin,148408.0,157.27258714304497,157.27258714304497,6.0,6.0,136.15494985599744,42.25235112622621,136.15494985599744,42.25235112622621,WMO Member,112760.0,35648.0,0.0
BFA,Burkina Faso,273600.0,165.40858502508266,174.35595774162695,10.0,9.0,130.83550000038665,23.69276979817442,153.176322085,39.33459423203141,WMO Member,273600.0,,
BGD,Bangladesh,262685.0,79.08479475793538,80.0434333316119,42.0,41.0,5.815443346868229,5.569866268611605,5.515492806954142,5.284484171154145,WMO Member,130170.0,112485.0,20030.0
BGR,Bulgaria,144184.0,109.6144759296569,120.0766421915603,12.0,10.0,79.18210929438561,40.995887415410195,96.21355027774123,47.30582304462975,WMO Member,108560.0,34685.0,939.0
BHR,Bahrain,8308.000030517578,91.14823108825304,91.14823108825304,1.0,1.0,,,,,WMO Member,778.000030517578,7530.0,
BHS,Bahamas,629948.0,324.02366168743504,793.6926357224187,6.0,1.0,28.53583597772424,56.558449495265855,,,WMO Member,10010.0,619938.0,
BIH,Bosnia and Herzegovina,51213.0,60.481992597561046,71.5632587296023,14.0,10.0,45.383328365128484,17.090119820849473,45.28095534014437,17.522180346562436,WMO Member,51200.0,13.0,
BLR,Belarus,202988.0078125,80.91971485377424,88.35853705053938,31.0,26.0,78.54382196460587,29.30632450623928,83.67612722356905,30.472804481069133,WMO Member,202988.0078125,,
BLZ,Belize,69185.0,263.0304164920856,263.0304164920856,1.0,1.0,,,,,WMO Member,22810.0,34426.0,11949.0
BMU,Bermuda,453507.0000009537,,,,,,,,,not WMO Member,54.000000953674295,453453.0,
BOL,"Bolivia, Plurinational State of",1083300.0,171.10925859923063,465.46750692180433,37.0,5.0,64.30765182460567,43.06122105936398,207.47367137001694,53.66405303167028,WMO Member,1083300.0,,
BRA,Brazil,12154886.0,124.43444543289083,160.64417828538058,785.0,471.0,31.249014322714036,32.13136674529683,56.5277528957396,34.44191111339901,WMO Member,8358140.0,3690321.0,106425.0
BRB,Barbados,186134.0,305.0688446891947,305.0688446891947,2.0,2.0,0.0,0.0,0.0,0.0,WMO Member,430.0,185704.0,
BRN,Brunei Darussalam,48601.0,220.45634488487738,220.45634488487738,1.0,1.0,,,,,WMO Member,5270.0,43331.0,
BTN,Bhutan,38143.9990234375,,,,,,,,,WMO Member,38143.9990234375,,
BWA,Botswana,566730.0,177.44013074837386,,18.0,,135.06363840773946,55.63339367237304,,,WMO Member,566730.0,,
CAF,Central African Republic,622980.0,218.90988662355676,,13.0,,192.2280448342006,74.62357194860553,,,WMO Member,622980.0,,
CAN,Canada,17400103.0,145.93682089025535,172.7593781663542,817.0,583.0,30.254795222220846,44.96507124226213,34.506455559282784,48.77102272007471,WMO Member,9093510.0,5708318.0,2598275.0
CHE,Switzerland,39516.0009765625,15.864875471810894,17.434713599060068,157.0,130.0,12.306534292263759,5.9472792595717054,13.586853112026668,6.30679708804636,WMO Member,39516.0009765625,,
CHL,Chile,4531334.03125,270.34428561021366,317.32682175567123,62.0,45.0,96.54659839480819,468.36882474718783,131.46567874163497,593.9290963458365,WMO Member,743532.03125,3668537.0,119265.0
CHN,China,10507197.0,165.6319254426772,166.503678439958,383.0,379.0,57.79675133265726,28.19245331147655,58.0437421143686,28.348322990712756,WMO Member,9388210.0,965049.0,153938.0
CIV,Cote d'Ivoire,490522.0,187.18249307637112,187.18249307637112,14.0,14.0,169.42714115794422,229.41093730036616,169.42714115794425,229.4109373003662,WMO Member,318000.0,172522.0,
CMR,Cameroon,489243.0,186.93830150995962,403.832886228945,14.0,3.0,129.39356563165322,31.441525989940104,330.6235974147035,199.5188767186304,WMO Member,472710.0,15210.0,1323.0
COD,Democratic Republic of the Congo,2280780.0,280.44176972572495,,29.0,,177.821911743403,80.42974344083257,,,WMO Member,2267050.0,13431.0,299.0
COG,Congo,375454.0,163.76245863183314,274.0270059683899,14.0,5.0,135.6961725458901,58.96331257713254,190.96208086594336,76.59790928558718,WMO Member,341500.0,33954.0,
COK,Cook Islands,1976459.0,573.9423606367919,811.6770704329812,6.0,3.0,250.43389657602705,400.36470735680354,1.4736848461210763,1.5488282503835953,WMO Member,,1976459.0,
COL,Colombia,1878749.0,254.5278929230784,612.9843391147933,29.0,5.0,70.89804818447382,97.95038011157594,222.33101208495154,186.89163598710135,WMO Member,1109500.0,730946.0,38303.0
COM,Comoros,166987.00006103516,288.9524182811377,408.6404288136884,2.0,1.0,137.9015564038111,0.0,,,WMO Member,1861.0000610351601,165126.0,
CPV,Republic of Cabo Verde,808724.0,449.6454158556495,899.290831711299,4.0,1.0,40.860452278179714,25.371751498395696,,,WMO Member,4030.0,804694.0,
CRI,Costa Rica,648188.0,402.55061793518587,569.2925434256099,4.0,2.0,71.3872185517994,76.737880245898,150.23672037304544,0.0,WMO Member,51060.0,584221.0,12907.0
CUB,Cuba,523764.0,255.87203833166294,511.74407666332587,8.0,2.0,83.65498174104137,117.2482374694362,225.37746194354386,0.0,WMO Member,104020.0,353196.0,66548.0
CUW,Curacao and Sint Maarten,25941.0,,,,,,,,,WMO Member,444.0,25497.0,
CYM,Cayman Islands,118891.0,344.80574241157876,,1.0,,,,,,WMO Member,240.0,118651.0,
CYP,Cyprus,108315.0,87.95900018921154,99.2311351432512,14.0,11.0,19.30041235674135,17.774554940341037,26.218135993063203,24.129926422067793,WMO Member,9240.0,98468.0,607.0
CZE,Czech Republic,77220.0,43.39832524587028,44.49719092257398,41.0,39.0,34.551297016942314,16.7764745733872,36.78873068321476,16.023824456929624,WMO Member,77220.0,,
DEU,Germany,414311.0,44.8466102019087,45.51433840011299,206.0,200.0,33.164882553332,15.690958461810771,34.1801751861088,15.320836515790585,WMO Member,349360.0,56512.0,8439.0
DJI,Djibouti,32007.0,178.90500272490985,,1.0,,,,,,WMO Member,23180.0,7252.0,1575.0
DMA,Dominica,29403.0,121.24974226776732,,2.0,,14.128300893623729,0.0,,,WMO Member,750.0,28653.0,
DNK,Denmark,3050824.0,203.04519534170552,214.99908385992265,74.0,66.0,70.88472801763669,184.40691726545282,104.0992760253733,290.0231373102231,WMO Member,452440.0,2356826.0,241558.0
DOM,Dominican Republic,400066.0,158.12692686573024,282.86604603592843,16.0,5.0,24.02902894713322,26.25757361378832,41.752162289291704,71.68349733243069,WMO Member,48310.0,351756.0,
DZA,Algeria,2517676.0,159.47122219093546,268.20439966562816,99.0,35.0,76.20177256495161,92.59611354550222,153.39493662973015,151.71125679738907,WMO Member,2381740.0,131138.0,4798.0
ECU,Ecuador,1398412.0,202.80474527456786,,34.0,,19.187949472829178,27.754213652773625,,,WMO Member,248360.0,1082544.0,67508.0
EGY,Egypt,1263026.0,195.6361805789388,280.9610738162851,33.0,16.0,102.74819575821283,73.29909840110129,141.44647114675345,60.071458012028515,WMO Member,995450.0,243594.0,23982.0
ERI,Eritrea,181190.0,245.75733288483312,,3.0,,153.9458894178118,266.64210208802996,,,WMO Member,101000.0,78382.0,1808.0
ESH,Western Sahara,0.0,,,,,,,,,disputed,,,
ESP,Spain,1521961.984375,78.656451323828,94.34173245030614,246.0,171.0,33.36169293201796,22.051973334923694,45.88258863535196,25.737500551082547,WMO Member,499563.984375,1007515.0,14883.0
EST,Estonia,92714.0,73.84960870500502,73.84960870500502,17.0,17.0,62.64442124846647,31.104940596438773,62.64442124846647,31.104940596438777,WMO Member,43470.0,36257.0,12987.0
ETH,Ethiopia,1000000.0,242.53562503633296,707.1067811865474,17.0,2.0,141.47231096245687,76.45718743411945,255.78624887700062,0.0,WMO Member,1000000.0,,
FIN,Finland,414663.0,48.26559246223273,56.91708607702962,178.0,128.0,31.471391447988037,28.31462012858208,37.62177342387149,42.644393967574736,WMO Member,303910.0,81072.0,29681.0
FJI,Fiji,1306405.0,285.74518806097154,305.4744553266981,16.0,14.0,23.157819259207734,41.996050584018334,12.5867921399709,31.526772434511226,WMO Member,18270.0,1288135.0,
FRA,France,908003.9921875,74.18257543457264,74.86630026078258,165.0,162.0,54.45377268108308,164.6546110523346,55.87972174709702,166.20049863697233,WMO Member,547556.9921875,344395.0,16052.0
FSM,"Micronesia, Federated States of",3024181.0,579.6724170694265,,9.0,,366.1142662599969,155.89877104550112,,,WMO Member,700.0,3023481.0,
GAB,Gabon,466644.0,227.7044868537582,483.0341602826864,9.0,2.0,114.87441847150532,39.755269727238726,530.9733917499971,0.0,WMO Member,257670.0,202654.0,6320.0
GBR,United Kingdom of Great Britain and Northern Irela,1016115.0,86.75700420010928,91.26232232093284,135.0,122.0,40.43418363806431,22.805018049494667,115.47479323326596,784.2548587996429,WMO Member,241930.0,729123.0,45062.0
GBR,Falkland Islands (Malvinas),1016115.0,86.75700420010928,91.26232232093284,135.0,122.0,40.43418363806431,22.805018049494667,115.47479323326596,784.2548587996429,WMO Member,241930.0,729123.0,45062.0
GBR,United Kingdom of Great Britain and Northern Irela,1016115.0,86.75700420010928,91.26232232093284,135.0,122.0,40.43418363806431,22.805018049494667,115.47479323326596,784.2548587996429,WMO Member,241930.0,729123.0,45062.0
GBR,Falkland Islands (Malvinas),1016115.0,86.75700420010928,91.26232232093284,135.0,122.0,40.43418363806431,22.805018049494667,115.47479323326596,784.2548587996429,WMO Member,241930.0,729123.0,45062.0
GEO,Georgia,92397.0,78.4843933530737,107.46918162896746,15.0,8.0,37.06610824244377,14.3629951354208,60.30488511558825,18.508167375323815,WMO Member,69490.0,22907.0,
GHA,Ghana,456049.0,147.36559655367006,194.94636014384403,21.0,12.0,79.21502191491564,39.424994935380774,86.68524193105833,27.101106727706046,WMO Member,227540.0,228509.0,
GIN,Guinea,348307.0,163.6852044439147,590.1753976573405,13.0,1.0,99.97385622196457,52.3131871858969,,,WMO Member,245720.0,102587.0,
GMB,Gambia,33304.0,68.97618636684899,182.49383551232629,7.0,1.0,42.007764034205316,20.602717325897043,,,WMO Member,10120.0,23184.0,
GNB,Guinea Bissau,149132.0,222.95889008215545,,3.0,,61.5015684928142,42.27165632176874,,,WMO Member,28120.0,107301.0,13711.0
GNQ,Equatorial Guinea,333540.0,408.37482782365515,,2.0,,233.27364422712154,0.0,,,not WMO Member,28050.0,305490.0,
GRC,Greece,611684.0,108.45807413998207,142.79168976753047,52.0,30.0,46.437019950737366,37.343070439665894,73.0445220060853,35.87539515533434,WMO Member,128900.0,482784.0,
GRD,Grenada,26010.0,114.03946685248927,114.03946685248927,2.0,2.0,0.0,0.0,0.0,0.0,not WMO Member,340.0,25670.0,
GTM,Guatemala,218281.0,147.7433585647761,,10.0,,25.265045450343866,31.24394080875799,,,WMO Member,107160.0,111121.0,
GUY,Guyana,332475.0,217.93675360394943,,7.0,,71.87143319219125,77.18992973619979,,,WMO Member,196850.0,135625.0,
