"RTH
Reg","RTH
Ref No",RTH city,RTH principal GISC,RTH backup GISC,RTH area of responsibility,RTH area of responsibility ISO3
1,11,Cairo* (Egypt),Casablanca,Toulouse,Egypt ,EGY
1,11,Cairo* (Egypt),Casablanca,Toulouse,Libya,LBY
1,11,Cairo* (Egypt),Casablanca,Toulouse,Sudan,SDN
1,12,Nairobi* (Kenya),Offenbach,Moscow/ Tokyo,Burundi,BDI
1,12,Nairobi* (Kenya),Offenbach,Moscow/ Tokyo,Djibouti,DJI
1,12,Nairobi* (Kenya),Offenbach,Moscow/ Tokyo,Ethiopia,ETH
1,12,Nairobi* (Kenya),Offenbach,Moscow/ Tokyo,Kenya,KEN
1,12,Nairobi* (Kenya),Offenbach,Moscow/ Tokyo,Rwanda,RWA
1,12,Nairobi* (Kenya),Offenbach,Moscow/ Tokyo,Somalia,SOM
1,12,Nairobi* (Kenya),Offenbach,Moscow/ Tokyo,Uganda,UGA
1,12,Nairobi* (Kenya),Offenbach,Moscow/ Tokyo,United Republic of Tanzania,TZA
1,13,Lusaka (Zambia),Pretoria,Exeter,Malawi,MWI
1,13,Lusaka (Zambia),Pretoria,Exeter,Zambia,ZMB
1,13,Lusaka (Zambia),Pretoria,Exeter,Zimbabwe,ZWE
1,14,Pretoria (South Africa),Pretoria,Exeter,Angola     ,AGO
1,14,Pretoria (South Africa),Pretoria,Exeter,Botswana,BWA
1,14,Pretoria (South Africa),Pretoria,Exeter,Lesotho,LSO
1,14,Pretoria (South Africa),Pretoria,Exeter,Madagascar,MDG
1,14,Pretoria (South Africa),Pretoria,Exeter,Malawi,MWI
1,14,Pretoria (South Africa),Pretoria,Exeter,Mozambique,MOZ
1,14,Pretoria (South Africa),Pretoria,Exeter,Namibia,NAM
1,14,Pretoria (South Africa),Pretoria,Exeter,Eswatini,SWZ
1,14,Pretoria (South Africa),Pretoria,Exeter,South Africa,ZAF
1,14,Pretoria (South Africa),Pretoria,Exeter,Zimbabwe,ZWE
1,14,Pretoria (South Africa),Pretoria,Exeter,La reunion,
1,14,Pretoria (South Africa),Pretoria,Exeter,La reunion,COM
1,14,Pretoria (South Africa),Pretoria,Exeter,La reunion,MUS
1,14,Pretoria (South Africa),Pretoria,Exeter,La reunion,SYC
1,14,Pretoria (South Africa),Pretoria,Exeter,La reunion,
1,14,Pretoria (South Africa),Pretoria,Exeter,La reunion,
1,15,Dakar* (Senegal),Casablanca,Toulouse,Cabo Verde,CPV
1,15,Dakar* (Senegal),Casablanca,Toulouse,Cote d’Ivoire,CIV
1,15,Dakar* (Senegal),Casablanca,Toulouse,Gambia,GMB
1,15,Dakar* (Senegal),Casablanca,Toulouse,Guinea,GIN
